Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16
Female  ,56 and above ,Finance Officer ,more than 5 years ,Masters ,No,Agree ,1,1,1,1,No,Paying incentives to employees ,streamlined and transparent workflow ,Effective and beneficial ,1
Female  ,56 and above ,Billing Manager ,more than 5 years ,Diploma ,Yes,Strongly agree,5,5,1,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,staff training and education ,verry effective and beneficial ,5
Female  ,under 25,IT specialist ,less than 1 year ,PHD ,Yes,Strongly agree,5,5,5,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,streamlined and transparent workflow ,Effective and beneficial ,5
Female  ,45-54,Finance Officer ,more than 5 years ,Masters ,Yes,Strongly agree,4,5,1,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Male ,23-35,IT specialist ,more than 5 years ,Masters ,Yes,Strongly agree,5,5,3,3,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Male ,45-54,Healthcare Professional (eg . Doctor),more than 5 years ,PHD ,Yes,Strongly agree,5,5,2,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Male ,36-45,Trade receivables Manager ,more than 5 years ,Degree ,Yes,Strongly agree,2,4,1,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Male ,36-45,IT specialist ,more than 5 years ,PHD ,Yes,Neutral,5,5,1,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,Effective and beneficial ,4
Female  ,45-54,Administrative staff ,more than 5 years ,PHD ,Yes,Neutral,1,5,5,5,Yes,Training staff ,staff training and education ,Effective and beneficial ,5
Male ,36-45,Billing Manager ,more than 5 years ,Degree ,Yes,Strongly agree,5,5,4,4,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,5
Male ,23-35,Accounting clerk ,1-5 years ,Degree ,Yes,Agree ,5,5,2,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,staff training and education ,Effective and beneficial ,4
Male ,36-45,Billing Manager ,more than 5 years ,Degree ,Yes,Agree ,5,5,1,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,4
Female  ,23-35,Tax accountant ,1-5 years ,Degree ,Yes,Agree ,3,5,2,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,Effective and beneficial ,5
Female  ,23-35,Tax accountant ,1-5 years ,Degree ,Yes,Agree ,4,5,2,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,4
Male ,36-45,Trade receivables Manager ,more than 5 years ,Masters ,Yes,Strongly agree,5,5,4,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Male ,45-54,Billing Manager ,more than 5 years ,Doctorate ,Yes,Strongly agree,1,5,3,1,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,5
Female  ,45-54,Administrative staff ,more than 5 years ,PHD ,Yes,Strongly agree,4,4,2,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,verry effective and beneficial ,4
Female  ,36-45,IT specialist ,more than 5 years ,Masters ,Yes,Strongly agree,5,5,2,2,Yes,Training staff ,Automation and technology intergration ,Effective and beneficial ,5
Male ,45-54,Finance Officer ,more than 5 years ,Chartered Accountant ( CA),Yes,Neutral,5,4,4,4,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,staff training and education ,Effective and beneficial ,4
Male ,36-45,Trade receivables Manager ,less than 1 year ,Degree ,Yes,Strongly agree,1,5,4,3,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,5
Male ,23-35,Accounting clerk ,1-5 years ,Degree ,Yes,Agree ,4,4,4,4,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,Effective and beneficial ,4
Female  ,36-45,Tax accountant ,1-5 years ,Chartered Accountant ( CA),Yes,Neutral,4,4,4,3,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,5
Female  ,36-45,Billing Manager ,more than 5 years ,Masters ,Yes,Neutral,4,4,4,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,Effective and beneficial ,5
Male ,45-54,Administrative staff ,more than 5 years ,Doctorate ,Yes,Agree ,1,5,1,2,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,4
Male ,56 and above ,Trade receivables Manager ,more than 5 years ,Diploma ,Yes,Strongly agree,2,4,3,3,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,5
Male ,23-35,Finance Officer ,more than 5 years ,PHD ,Yes,Neutral,4,4,4,4,Yes,Automation of the revenue cycle tasks and avoid too much reliance on manual operations .,Automation and technology intergration ,moderately effective and beneficial ,4
Male ,36-45,Tax accountant ,more than 5 years ,Doctorate ,Yes,Disagree,2,3,3,3,Yes,Paying incentives to employees ,staff training and education ,ineffective and beneficial ,2
Female  ,45-54,Trade receivables Manager ,more than 5 years ,Masters ,Yes,Disagree,5,1,3,3,Yes,Paying incentives to employees ,streamlined and transparent workflow ,ineffective and beneficial ,1
Male ,45-54,Billing Manager ,more than 5 years ,Doctorate ,Yes,Disagree,4,3,2,2,Yes,Training staff ,staff training and education ,ineffective and beneficial ,3
Female  ,23-35,IT specialist ,more than 5 years ,Degree ,Yes,Disagree,2,2,4,5,Yes,Training staff ,staff training and education ,ineffective and beneficial ,1
Male ,36-45,Tax accountant ,1-5 years ,Degree ,Yes,Disagree,2,2,2,2,Yes,Paying incentives to employees ,staff training and education ,ineffective and beneficial ,4
Male ,45-54,Trade receivables Manager ,more than 5 years ,Masters ,Yes,Strongly agree,4,4,1,1,Yes,Training staff ,good communication channels ,moderately effective and beneficial ,4
Female  ,45-54,Tax accountant ,more than 5 years ,PHD ,Yes,Neutral,4,5,4,4,Yes,Training staff ,good communication channels ,moderately effective and beneficial ,4
